Expiration Date,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Type,Index Spot
2025-01-29,0.0,0.0,3625.8,3649.8,0,0.0,1.0,0.0,0,2400.0,Call,6039.3101
2025-01-29,0.05,0.025,0.0,0.05,11,0.0,0.0,0.0,337,2400.0,Put,6039.3101
2025-01-29,0.0,0.0,3425.9,3449.9,0,0.0,1.0,0.0,7,2600.0,Call,6039.3101
2025-01-29,0.15,0.0,0.0,0.05,0,0.0,0.0,0.0,319,2600.0,Put,6039.3101
2025-01-29,0.0,0.0,3226.0,3250.0,0,0.0,1.0,0.0,7,2800.0,Call,6039.3101
2025-01-29,0.2,0.0,0.0,0.05,0,0.0,0.0,0.0,108,2800.0,Put,6039.3101
2025-01-29,0.0,0.0,3025.9,3049.8,0,0.0,1.0,0.0,0,3000.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,193,3000.0,Put,6039.3101
2025-01-29,0.0,0.0,2826.0,2849.9,0,0.0,1.0,0.0,0,3200.0,Call,6039.3101
2025-01-29,0.28,0.0,0.0,0.05,0,0.0,0.0,0.0,69,3200.0,Put,6039.3101
2025-01-29,0.0,0.0,2626.0,2650.0,0,0.0,1.0,0.0,0,3400.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,63,3400.0,Put,6039.3101
2025-01-29,0.0,0.0,2426.0,2450.0,0,0.0,1.0,0.0,0,3600.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,82,3600.0,Put,6039.3101
2025-01-29,0.0,0.0,2226.0,2250.0,0,0.0,1.0,0.0,0,3800.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,289,3800.0,Put,6039.3101
2025-01-29,0.0,0.0,2025.8,2049.8,0,0.0,1.0,0.0,0,4000.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,308,4000.0,Put,6039.3101
2025-01-29,0.0,0.0,1825.9,1849.8,0,0.0,1.0,0.0,0,4200.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,4654,4200.0,Put,6039.3101
2025-01-29,1651.0,-18.7,1625.9,1649.8,2,0.0,1.0,0.0,3,4400.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,3507,4400.0,Put,6039.3101
2025-01-29,1551.73,-17.97,1525.9,1549.8,7,0.0,1.0,0.0,4,4500.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,4905,4500.0,Put,6039.3101
2025-01-29,1440.7,-32.3,1426.0,1450.0,4,0.0,1.0,0.0,4,4600.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,7966,4600.0,Put,6039.3101
2025-01-29,0.0,0.0,1325.9,1349.8,0,0.0,1.0,0.0,0,4700.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,5894,4700.0,Put,6039.3101
2025-01-29,1242.37,-31.93,1225.9,1249.8,1,0.0,1.0,0.0,2,4800.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,8914,4800.0,Put,6039.3101
2025-01-29,1111.97,0.0,1125.8,1149.8,0,0.0,1.0,0.0,1,4900.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,12544,4900.0,Put,6039.3101
2025-01-29,0.0,0.0,1075.7,1099.7,0,0.0,1.0,0.0,0,4950.0,Call,6039.3101
2025-01-29,0.0,0.0,0.0,0.05,0,0.0,0.0,0.0,0,4950.0,Put,6039.3101
2025-01-29,1044.4,-25.4,1025.6,1049.5,2,0.0,1.0,0.0,1,5000.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,3065,5000.0,Put,6039.3101
2025-01-29,969.7,-50.1,975.9,999.8,1,0.0,1.0,0.0,20,5050.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,5567,5050.0,Put,6039.3101
2025-01-29,949.86,-19.94,925.8,949.8,1,0.0,1.0,0.0,1,5100.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1850,5100.0,Put,6039.3101
2025-01-29,900.95,-18.8,875.9,899.8,1,0.0,1.0,0.0,16,5150.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,4075,5150.0,Put,6039.3101
2025-01-29,880.09,-18.01,850.7,874.7,10,0.0,1.0,0.0,9,5175.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,22,5175.0,Put,6039.3101
2025-01-29,841.7,-28.1,825.7,849.7,7,0.0,1.0,0.0,7,5200.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,2229,5200.0,Put,6039.3101
